Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14449371,Yajie2025,"2025-09-28 22:24:19",1.00000,3,yajie2025
2,14449391,"Maria Aezaz Abdulhaq Patel","2025-09-28 22:24:31",1.00000,4,mariaaezazabdulhaq
3,14449405,"Sameer Syed","2025-09-28 22:30:04",1.00000,3,sameersyed0
4,14449416,yaqinwang88797,"2025-09-28 22:35:33",1.00000,3,yaqinwang88797
5,14449425,"Mohammad Towhidul Islam","2025-09-28 22:38:34",1.00000,3,mohammadtowhidul
6,14449433,"Mohammad Asaduzzaman","2025-09-28 22:43:22",1.00000,3,mohammadasaduzzaman0
7,14449452,"Md Alamgir Hossain #2","2025-09-28 22:51:30",1.00000,3,mdalamgirhossain0
8,14449473,"Madhu Bandaru","2025-09-28 22:58:17",1.00000,3,madhubandaru0
9,14449482,"Imtiaz Ahmed Shaik","2025-09-28 23:03:21",1.00000,3,imtiazahmedshaik0
10,14449488,"Fnu Mohammed Sohail","2025-09-28 23:07:32",1.00000,3,fnumohammedsohail
11,14449499,"Jeremy Chen5","2025-09-28 23:14:45",1.00000,4,jeremychen5
12,14449617,"Xinrong Chen","2025-09-29 00:22:59",1.00000,3,xrc247
13,14449744,"Meigui HUANG","2025-09-29 01:32:50",1.00000,3,meiguihuang
14,14449764,"Dongliang Wu","2025-09-29 01:49:35",1.00000,6,dongliangwu0096
15,12801551,Veniamin_Nelin,"2025-11-27 03:14:44",1.00000,67,veniaminnelin
16,14449831,"Denzel I A Selvam","2025-09-29 02:01:55",1.00000,3,denzel07ignatius
17,14449841,"Shao Lan Wang","2025-09-29 02:03:41",1.00000,3,shaolanwang
18,14449910,"Divya #18","2025-09-29 02:28:03",1.00000,3,divyauni
19,14449980,"Jing Chen #3","2025-09-29 02:56:30",1.00000,3,jingchen2025
20,14450062,MarcusLXZ,"2025-09-29 03:14:33",1.00000,3,marcuslxz
21,14450564,yupengmo,"2025-09-29 05:27:45",1.00000,3,yupengmo
22,13296257,"Amr El3RAB","2025-10-01 19:35:42",1.00000,2,el3rab
23,14454325,refjeijkdso367,"2025-10-24 19:06:16",1.00000,2,refjeijkdso367
24,12408744,n3onnhowever,"2025-11-27 08:15:38",1.00000,138,n3onnhowever
25,14477167,"Zhengyao Zhu","2025-10-05 20:45:27",1.00000,15,zzy2021
26,14317883,"Jeki Wan Taufik","2025-11-13 08:43:27",1.00000,6,jekiwantaufik
27,14489743,triageee3,"2025-10-07 08:26:26",1.00000,6,triageee3
28,14493809,"Ринат Гилемшин","2025-10-07 18:26:49",1.00000,3,dryelm
29,14497360,"Monika Schultz","2025-10-08 12:47:15",1.00000,3,monikaschultz
30,14497456,vinhthainguyen,"2025-10-08 13:42:57",1.00000,10,vinhthainguyennn
31,4421564,Degior,"2025-10-08 15:16:38",1.00000,2,degior
32,14405939,"vinh thaiii","2025-10-10 03:39:52",1.00000,13,vinhthaiii
33,14476914,"Power Of Lighting","2025-10-09 12:26:54",1.00000,39,poweroflighting
34,5590691,VishalBhavsar,"2025-10-10 13:58:05",1.00000,2,vishalbhavsar
35,14488364,"Mitudru Dutta","2025-10-11 16:49:07",1.00000,6,mitudru
36,8683495,"💥Tesla, Inc.💥","2025-10-13 04:27:08",1.00000,1,alanjo
37,14521243,"Jianxin Wang","2025-10-13 07:29:45",1.00000,5,jianxinwang009
38,14534981,"HIMANSHI KHAROTIA","2025-10-15 08:45:21",1.00000,1,himanshikharotia
39,14531719,"Anandadeep Bala","2025-10-17 11:56:26",1.00000,14,anandadeepbala
40,14480505,"jakob landa","2025-10-17 18:51:10",1.00000,3,jakoblanda07
41,10781188,cysuncn,"2025-10-20 05:05:31",1.00000,5,cysuncn
42,14530560,"David Andersen","2025-10-20 07:42:07",1.00000,10,davidandersen9654
43,13125905,wjhgfd,"2025-10-21 13:05:31",1.00000,1,wjhgfd
44,14572541,"Drsu Dom","2025-10-22 18:32:00",1.00000,8,drsudom
45,12932725,"Muhammad Firdaus #2","2025-10-23 07:10:48",1.00000,1,ldausl
46,14586031,孙嘉辉6054,"2025-11-23 04:20:53",1.00000,32,"guyupeng,lzl6128,wanghaoyang123,wefsdeg"
47,14597163,"Santhosh Achutha","2025-10-25 03:53:41",1.00000,1,santhoshachutha
48,14256574,"Branny Bear","2025-10-25 09:16:24",1.00000,1,brannybear
49,14580216,"Sourbh Rawat","2025-10-25 20:17:35",1.00000,7,sourbhrawat
50,14586708,"Sora Skyeeeee","2025-10-25 23:29:16",1.00000,30,soraskyeeeee
51,14604589,"Gummalla Jashnavi","2025-10-26 15:03:07",1.00000,1,gummallajashnavi
52,14607839,"Jasvitha Vattikuti","2025-10-27 06:30:02",1.00000,1,jasvithavattikuti
53,12180497,"Manan Gupta #2","2025-10-27 08:25:00",1.00000,9,manan2607
